Sales_Date,Region,Quantity_Sold,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Category,Product_ID,mean,std,cv,safety_stock
2023-02-19,East,398.0,,,,,,,,,,,,,,,,,,,
2023-02-19,North,383.0,,,,,,,,,,,,,,,,,,,
2023-02-19,South,203.0,,,,,,,,,,,,,,,,,,,
2023-02-19,West,403.0,,,,,,,,,,,,,,,,,,,
2023-02-20,East,426.0,,,,,,,,,,,,,,,,,,,
2023-02-20,North,320.0,,,,,,,,,,,,,,,,,,,
2023-02-20,South,324.0,,,,,,,,,,,,,,,,,,,
2023-02-20,West,352.0,,,,,,,,,,,,,,,,,,,
2023-02-21,East,393.0,,,,,,,,,,,,,,,,,,,
2023-02-21,North,488.0,,,,,,,,,,,,,,,,,,,
2023-02-21,South,275.0,,,,,,,,,,,,,,,,,,,
2023-02-21,West,368.0,,,,,,,,,,,,,,,,,,,
2023-02-22,East,353.0,,,,,,,,,,,,,,,,,,,
2023-02-22,North,216.0,,,,,,,,,,,,,,,,,,,
2023-02-22,South,351.0,,,,,,,,,,,,,,,,,,,
2023-02-22,West,307.0,,,,,,,,,,,,,,,,,,,
2023-02-23,East,242.0,,,,,,,,,,,,,,,,,,,
2023-02-23,North,266.0,,,,,,,,,,,,,,,,,,,
2023-02-23,South,341.0,,,,,,,,,,,,,,,,,,,
2023-02-23,West,403.0,,,,,,,,,,,,,,,,,,,
2023-02-24,East,281.0,,,,,,,,,,,,,,,,,,,
2023-02-24,North,348.0,,,,,,,,,,,,,,,,,,,
2023-02-24,South,322.0,,,,,,,,,,,,,,,,,,,
2023-02-24,West,362.0,,,,,,,,,,,,,,,,,,,
2023-02-25,East,174.0,,,,,,,,,,,,,,,,,,,
2023-02-25,North,355.0,,,,,,,,,,,,,,,,,,,
2023-02-25,South,414.0,,,,,,,,,,,,,,,,,,,
2023-02-25,West,391.0,,,,,,,,,,,,,,,,,,,
2023-02-26,East,267.0,,,,,,,,,,,,,,,,,,,
2023-02-26,North,379.0,,,,,,,,,,,,,,,,,,,
2023-02-26,South,375.0,,,,,,,,,,,,,,,,,,,
2023-02-26,West,380.0,,,,,,,,,,,,,,,,,,,
2023-02-27,East,437.0,,,,,,,,,,,,,,,,,,,
2023-02-27,North,372.0,,,,,,,,,,,,,,,,,,,
2023-02-27,South,308.0,,,,,,,,,,,,,,,,,,,
2023-02-27,West,368.0,,,,,,,,,,,,,,,,,,,
2023-02-28,East,447.0,,,,,,,,,,,,,,,,,,,
2023-02-28,North,345.0,,,,,,,,,,,,,,,,,,,
2023-02-28,South,383.0,,,,,,,,,,,,,,,,,,,
2023-02-28,West,496.0,,,,,,,,,,,,,,,,,,,
2023-03-01,East,422.0,,,,,,,,,,,,,,,,,,,
2023-03-01,North,309.0,,,,,,,,,,,,,,,,,,,
2023-03-01,South,312.0,,,,,,,,,,,,,,,,,,,
2023-03-01,West,341.0,,,,,,,,,,,,,,,,,,,
2023-03-02,East,428.0,,,,,,,,,,,,,,,,,,,
2023-03-02,North,244.0,,,,,,,,,,,,,,,,,,,
2023-03-02,South,521.0,,,,,,,,,,,,,,,,,,,
2023-03-02,West,347.0,,,,,,,,,,,,,,,,,,,
2023-03-03,East,277.0,,,,,,,,,,,,,,,,,,,
2023-03-03,North,275.0,,,,,,,,,,,,,,,,,,,
2023-03-03,South,316.0,,,,,,,,,,,,,,,,,,,
2023-03-03,West,315.0,,,,,,,,,,,,,,,,,,,
2023-03-04,East,344.0,,,,,,,,,,,,,,,,,,,
2023-03-04,North,377.0,,,,,,,,,,,,,,,,,,,
2023-03-04,South,334.0,,,,,,,,,,,,,,,,,,,
2023-03-04,West,337.0,,,,,,,,,,,,,,,,,,,
2023-03-05,East,306.0,,,,,,,,,,,,,,,,,,,
2023-03-05,North,315.0,,,,,,,,,,,,,,,,,,,
2023-03-05,South,427.0,,,,,,,,,,,,,,,,,,,
2023-03-05,West,308.0,,,,,,,,,,,,,,,,,,,
2023-03-06,East,391.0,,,,,,,,,,,,,,,,,,,
2023-03-06,North,324.0,,,,,,,,,,,,,,,,,,,
2023-03-06,South,230.0,,,,,,,,,,,,,,,,,,,
2023-03-06,West,363.0,,,,,,,,,,,,,,,,,,,
2023-03-07,East,412.0,,,,,,,,,,,,,,,,,,,
2023-03-07,North,233.0,,,,,,,,,,,,,,,,,,,
2023-03-07,South,286.0,,,,,,,,,,,,,,,,,,,
2023-03-07,West,402.0,,,,,,,,,,,,,,,,,,,
2023-03-08,East,382.0,,,,,,,,,,,,,,,,,,,
2023-03-08,North,347.0,,,,,,,,,,,,,,,,,,,
2023-03-08,South,302.0,,,,,,,,,,,,,,,,,,,
2023-03-08,West,350.0,,,,,,,,,,,,,,,,,,,
2023-03-09,East,307.0,,,,,,,,,,,,,,,,,,,
2023-03-09,North,500.0,,,,,,,,,,,,,,,,,,,
2023-03-09,South,403.0,,,,,,,,,,,,,,,,,,,
2023-03-09,West,330.0,,,,,,,,,,,,,,,,,,,
2023-03-10,East,347.0,,,,,,,,,,,,,,,,,,,
2023-03-10,North,357.0,,,,,,,,,,,,,,,,,,,
2023-03-10,South,424.0,,,,,,,,,,,,,,,,,,,
2023-03-10,West,228.0,,,,,,,,,,,,,,,,,,,
2023-03-11,East,344.0,,,,,,,,,,,,,,,,,,,
2023-03-11,North,312.0,,,,,,,,,,,,,,,,,,,
2023-03-11,South,347.0,,,,,,,,,,,,,,,,,,,
2023-03-11,West,339.0,,,,,,,,,,,,,,,,,,,
2023-03-12,East,354.0,,,,,,,,,,,,,,,,,,,
2023-03-12,North,274.0,,,,,,,,,,,,,,,,,,,
2023-03-12,South,451.0,,,,,,,,,,,,,,,,,,,
2023-03-12,West,324.0,,,,,,,,,,,,,,,,,,,
2023-03-13,East,378.0,,,,,,,,,,,,,,,,,,,
2023-03-13,North,284.0,,,,,,,,,,,,,,,,,,,
2023-03-13,South,379.0,,,,,,,,,,,,,,,,,,,
2023-03-13,West,300.0,,,,,,,,,,,,,,,,,,,
2023-03-14,East,344.0,,,,,,,,,,,,,,,,,,,
2023-03-14,North,403.0,,,,,,,,,,,,,,,,,,,
2023-03-14,South,426.0,,,,,,,,,,,,,,,,,,,
2023-03-14,West,388.0,,,,,,,,,,,,,,,,,,,
2023-03-15,East,294.0,,,,,,,,,,,,,,,,,,,
2023-03-15,North,298.0,,,,,,,,,,,,,,,,,,,
2023-03-15,South,324.0,,,,,,,,,,,,,,,,,,,
2023-03-15,West,410.0,,,,,,,,,,,,,,,,,,,
2023-03-16,East,387.0,,,,,,,,,,,,,,,,,,,
2023-03-16,North,384.0,,,,,,,,,,,,,,,,,,,
2023-03-16,South,307.0,,,,,,,,,,,,,,,,,,,
2023-03-16,West,358.0,,,,,,,,,,,,,,,,,,,
2023-03-17,East,371.0,,,,,,,,,,,,,,,,,,,
2023-03-17,North,324.0,,,,,,,,,,,,,,,,,,,
2023-03-17,South,361.0,,,,,,,,,,,,,,,,,,,
2023-03-17,West,341.0,,,,,,,,,,,,,,,,,,,
2023-03-18,East,344.0,,,,,,,,,,,,,,,,,,,
2023-03-18,North,401.0,,,,,,,,,,,,,,,,,,,
2023-03-18,South,360.0,,,,,,,,,,,,,,,,,,,
2023-03-18,West,318.0,,,,,,,,,,,,,,,,,,,
2023-03-19,East,276.0,,,,,,,,,,,,,,,,,,,
2023-03-19,North,289.0,,,,,,,,,,,,,,,,,,,
2023-03-19,South,372.0,,,,,,,,,,,,,,,,,,,
2023-03-19,West,359.0,,,,,,,,,,,,,,,,,,,
2023-03-20,East,296.0,,,,,,,,,,,,,,,,,,,
2023-03-20,North,317.0,,,,,,,,,,,,,,,,,,,
2023-03-20,South,325.0,,,,,,,,,,,,,,,,,,,
2023-03-20,West,365.0,,,,,,,,,,,,,,,,,,,
2023-03-21,East,322.0,,,,,,,,,,,,,,,,,,,
2023-03-21,North,352.0,,,,,,,,,,,,,,,,,,,
2023-03-21,South,171.0,,,,,,,,,,,,,,,,,,,
2023-03-21,West,430.0,,,,,,,,,,,,,,,,,,,
2023-03-22,East,359.0,,,,,,,,,,,,,,,,,,,
2023-03-22,North,360.0,,,,,,,,,,,,,,,,,,,
2023-03-22,South,294.0,,,,,,,,,,,,,,,,,,,
2023-03-22,West,357.0,,,,,,,,,,,,,,,,,,,
2023-03-23,East,263.0,,,,,,,,,,,,,,,,,,,
2023-03-23,North,385.0,,,,,,,,,,,,,,,,,,,
2023-03-23,South,324.0,,,,,,,,,,,,,,,,,,,
2023-03-23,West,236.0,,,,,,,,,,,,,,,,,,,
2023-03-24,East,390.0,,,,,,,,,,,,,,,,,,,
2023-03-24,North,274.0,,,,,,,,,,,,,,,,,,,
2023-03-24,South,330.0,,,,,,,,,,,,,,,,,,,
2023-03-24,West,382.0,,,,,,,,,,,,,,,,,,,
2023-03-25,East,261.0,,,,,,,,,,,,,,,,,,,
2023-03-25,North,379.0,,,,,,,,,,,,,,,,,,,
2023-03-25,South,343.0,,,,,,,,,,,,,,,,,,,
2023-03-25,West,421.0,,,,,,,,,,,,,,,,,,,
2023-03-26,East,386.0,,,,,,,,,,,,,,,,,,,
2023-03-26,North,301.0,,,,,,,,,,,,,,,,,,,
2023-03-26,South,310.0,,,,,,,,,,,,,,,,,,,
2023-03-26,West,343.0,,,,,,,,,,,,,,,,,,,
2023-03-27,East,419.0,,,,,,,,,,,,,,,,,,,
2023-03-27,North,358.0,,,,,,,,,,,,,,,,,,,
2023-03-27,South,321.0,,,,,,,,,,,,,,,,,,,
2023-03-27,West,366.0,,,,,,,,,,,,,,,,,,,
2023-03-28,East,363.0,,,,,,,,,,,,,,,,,,,
2023-03-28,North,342.0,,,,,,,,,,,,,,,,,,,
2023-03-28,South,315.0,,,,,,,,,,,,,,,,,,,
2023-03-28,West,356.0,,,,,,,,,,,,,,,,,,,
2023-03-29,East,340.0,,,,,,,,,,,,,,,,,,,
2023-03-29,North,318.0,,,,,,,,,,,,,,,,,,,
2023-03-29,South,268.0,,,,,,,,,,,,,,,,,,,
2023-03-29,West,428.0,,,,,,,,,,,,,,,,,,,
2023-03-30,East,275.0,,,,,,,,,,,,,,,,,,,
2023-03-30,North,361.0,,,,,,,,,,,,,,,,,,,
2023-03-30,South,456.0,,,,,,,,,,,,,,,,,,,
2023-03-30,West,429.0,,,,,,,,,,,,,,,,,,,
2023-03-31,East,320.0,,,,,,,,,,,,,,,,,,,
2023-03-31,North,291.0,,,,,,,,,,,,,,,,,,,
2023-03-31,South,340.0,,,,,,,,,,,,,,,,,,,
2023-03-31,West,434.0,,,,,,,,,,,,,,,,,,,
2023-04-01,East,350.0,,,,,,,,,,,,,,,,,,,
2023-04-01,North,332.0,,,,,,,,,,,,,,,,,,,
2023-04-01,South,372.0,,,,,,,,,,,,,,,,,,,
2023-04-01,West,337.0,,,,,,,,,,,,,,,,,,,
2023-04-02,East,368.0,,,,,,,,,,,,,,,,,,,
2023-04-02,North,438.0,,,,,,,,,,,,,,,,,,,
2023-04-02,South,339.0,,,,,,,,,,,,,,,,,,,
2023-04-02,West,179.0,,,,,,,,,,,,,,,,,,,
2023-04-03,East,323.0,,,,,,,,,,,,,,,,,,,
2023-04-03,North,316.0,,,,,,,,,,,,,,,,,,,
2023-04-03,South,356.0,,,,,,,,,,,,,,,,,,,
2023-04-03,West,385.0,,,,,,,,,,,,,,,,,,,
2023-04-04,East,268.0,,,,,,,,,,,,,,,,,,,
2023-04-04,North,316.0,,,,,,,,,,,,,,,,,,,
2023-04-04,South,316.0,,,,,,,,,,,,,,,,,,,
2023-04-04,West,305.0,,,,,,,,,,,,,,,,,,,
2023-04-05,East,261.0,,,,,,,,,,,,,,,,,,,
2023-04-05,North,307.0,,,,,,,,,,,,,,,,,,,
2023-04-05,South,310.0,,,,,,,,,,,,,,,,,,,
2023-04-05,West,333.0,,,,,,,,,,,,,,,,,,,
2023-04-06,East,355.0,,,,,,,,,,,,,,,,,,,
2023-04-06,North,429.0,,,,,,,,,,,,,,,,,,,
2023-04-06,South,404.0,,,,,,,,,,,,,,,,,,,
2023-04-06,West,413.0,,,,,,,,,,,,,,,,,,,
2023-04-07,East,399.0,,,,,,,,,,,,,,,,,,,
2023-04-07,North,277.0,,,,,,,,,,,,,,,,,,,
2023-04-07,South,357.0,,,,,,,,,,,,,,,,,,,
2023-04-07,West,382.0,,,,,,,,,,,,,,,,,,,
2023-04-08,East,353.0,,,,,,,,,,,,,,,,,,,
2023-04-08,North,280.0,,,,,,,,,,,,,,,,,,,
2023-04-08,South,294.0,,,,,,,,,,,,,,,,,,,
2023-04-08,West,287.0,,,,,,,,,,,,,,,,,,,
2023-04-09,East,359.0,,,,,,,,,,,,,,,,,,,
2023-04-09,North,525.0,,,,,,,,,,,,,,,,,,,
2023-04-09,South,329.0,,,,,,,,,,,,,,,,,,,
2023-04-09,West,411.0,,,,,,,,,,,,,,,,,,,
2023-04-10,East,354.0,,,,,,,,,,,,,,,,,,,
2023-04-10,North,384.0,,,,,,,,,,,,,,,,,,,
2023-04-10,South,331.0,,,,,,,,,,,,,,,,,,,
2023-04-10,West,316.0,,,,,,,,,,,,,,,,,,,
2023-04-11,East,385.0,,,,,,,,,,,,,,,,,,,
2023-04-11,North,332.0,,,,,,,,,,,,,,,,,,,
2023-04-11,South,292.0,,,,,,,,,,,,,,,,,,,
2023-04-11,West,367.0,,,,,,,,,,,,,,,,,,,
2023-04-12,East,393.0,,,,,,,,,,,,,,,,,,,
2023-04-12,North,258.0,,,,,,,,,,,,,,,,,,,
2023-04-12,South,248.0,,,,,,,,,,,,,,,,,,,
2023-04-12,West,222.0,,,,,,,,,,,,,,,,,,,
2023-04-13,East,390.0,,,,,,,,,,,,,,,,,,,
2023-04-13,North,361.0,,,,,,,,,,,,,,,,,,,
2023-04-13,South,269.0,,,,,,,,,,,,,,,,,,,
2023-04-13,West,500.0,,,,,,,,,,,,,,,,,,,
2023-04-14,East,399.0,,,,,,,,,,,,,,,,,,,
2023-04-14,North,353.0,,,,,,,,,,,,,,,,,,,
2023-04-14,South,242.0,,,,,,,,,,,,,,,,,,,
2023-04-14,West,478.0,,,,,,,,,,,,,,,,,,,
2023-04-15,East,290.0,,,,,,,,,,,,,,,,,,,
2023-04-15,North,264.0,,,,,,,,,,,,,,,,,,,
2023-04-15,South,395.0,,,,,,,,,,,,,,,,,,,
2023-04-15,West,346.0,,,,,,,,,,,,,,,,,,,
2023-04-16,East,427.0,,,,,,,,,,,,,,,,,,,
2023-04-16,North,304.0,,,,,,,,,,,,,,,,,,,
2023-04-16,South,384.0,,,,,,,,,,,,,,,,,,,
2023-04-16,West,234.0,,,,,,,,,,,,,,,,,,,
2023-04-17,East,305.0,,,,,,,,,,,,,,,,,,,
2023-04-17,North,361.0,,,,,,,,,,,,,,,,,,,
2023-04-17,South,386.0,,,,,,,,,,,,,,,,,,,
2023-04-17,West,241.0,,,,,,,,,,,,,,,,,,,
2023-04-18,East,275.0,,,,,,,,,,,,,,,,,,,
