Product_Category,Region,Age_Group,Gender,Month,Sales_Amount,Units_Sold,Customer_Rating
Clothing,Africa,65+,Male,April,806.76,65,1.7
Sports Equipment,Africa,65+,Female,April,148.94,40,1.8
Beauty Products,Latin America,25-34,Non-binary,April,495.55,74,2.0
Beauty Products,Asia-Pacific,55-64,Non-binary,November,817.22,79,4.9
Sports Equipment,North America,65+,Non-binary,November,308.59,2,3.3
Books,Africa,25-34,Male,March,756.08,13,1.2
Books,Middle East,45-54,Non-binary,November,973.92,55,2.1
Electronics,Africa,55-64,Non-binary,June,879.78,37,3.3
Electronics,North America,65+,Non-binary,July,565.99,21,1.2
Electronics,Middle East,35-44,Non-binary,June,816.27,83,3.8
Beauty Products,Middle East,65+,Female,September,967.86,99,2.3
Books,Europe,45-54,Non-binary,August,190.21,44,1.4
Electronics,Asia-Pacific,45-54,Non-binary,November,665.43,53,4.2
Books,Latin America,18-24,Female,September,807.84,14,3.6
Clothing,North America,25-34,Male,February,231.87,1,1.1
Electronics,Middle East,18-24,Male,February,850.74,87,2.9
Clothing,Middle East,18-24,Non-binary,November,800.15,6,3.6
Electronics,North America,25-34,Non-binary,March,305.07,47,2.6
Electronics,North America,35-44,Non-binary,February,113.58,83,3.7
Clothing,Asia-Pacific,55-64,Male,December,112.78,84,3.2
Electronics,Africa,65+,Non-binary,November,219.1,24,4.3
Electronics,Europe,25-34,Female,February,301.71,39,2.4
Beauty Products,Asia-Pacific,65+,Non-binary,October,430.58,79,2.4
Beauty Products,Latin America,18-24,Non-binary,January,148.91,37,4.0
Electronics,Latin America,45-54,Female,August,554.06,15,4.2
Books,Europe,35-44,Female,December,179.01,47,3.9
Electronics,Middle East,65+,Male,July,840.81,2,3.9
Sports Equipment,Europe,55-64,Male,May,110.49,75,4.3
Electronics,Middle East,55-64,Male,January,665.73,49,1.4
Books,Europe,55-64,Male,January,805.04,21,4.9
Beauty Products,North America,55-64,Female,May,134.66,85,2.9
Clothing,North America,55-64,Female,March,730.46,91,2.1
Books,Asia-Pacific,25-34,Female,October,923.34,32,1.2
Books,Latin America,45-54,Non-binary,July,437.74,73,1.7
Electronics,Middle East,55-64,Female,March,183.06,13,1.0
Sports Equipment,North America,55-64,Male,November,120.79,84,1.2
Home Appliances,Asia-Pacific,65+,Male,August,589.84,72,4.3
Sports Equipment,Europe,25-34,Female,March,288.91,38,1.6
Books,Africa,35-44,Male,January,487.89,97,2.5
Home Appliances,Africa,25-34,Non-binary,January,184.75,22,3.0
Clothing,Middle East,55-64,Non-binary,June,967.0,44,3.9
Home Appliances,Middle East,45-54,Female,March,494.06,32,4.8
Electronics,North America,18-24,Male,October,33.88,14,1.2
Home Appliances,Middle East,35-44,Female,April,127.67,36,2.5
Beauty Products,Middle East,55-64,Male,September,952.78,27,1.8
Home Appliances,Middle East,35-44,Female,June,161.69,49,4.1
Sports Equipment,Asia-Pacific,35-44,Non-binary,May,337.44,53,3.5
Books,Latin America,35-44,Non-binary,April,112.84,21,3.5
Clothing,Asia-Pacific,35-44,Female,January,35.42,37,1.2
Clothing,Latin America,35-44,Male,November,515.9,26,2.0
Clothing,North America,55-64,Non-binary,November,325.8,50,3.6
Electronics,Middle East,55-64,Female,August,94.4,7,2.3
Books,Europe,18-24,Female,July,446.01,87,1.1
Clothing,Africa,35-44,Female,March,513.17,49,4.9
Electronics,Middle East,55-64,Male,December,893.01,22,4.4
Clothing,Europe,25-34,Non-binary,September,148.37,82,4.4
Clothing,North America,18-24,Non-binary,October,196.32,5,1.6
Home Appliances,Europe,55-64,Female,February,433.77,85,3.9
Clothing,Asia-Pacific,65+,Male,September,825.06,70,1.4
Beauty Products,Asia-Pacific,35-44,Female,April,216.68,65,1.9
Beauty Products,North America,55-64,Male,January,828.46,21,1.5
Electronics,Africa,18-24,Female,June,239.0,62,4.0
Electronics,Europe,45-54,Female,May,495.69,11,4.6
Books,Latin America,25-34,Non-binary,November,293.42,76,2.8
Books,North America,25-34,Female,April,307.92,98,3.4
Clothing,Asia-Pacific,18-24,Female,February,641.83,98,3.7
Clothing,Latin America,18-24,Male,March,943.58,25,1.5
Books,Europe,25-34,Female,March,187.39,64,2.4
Clothing,Latin America,25-34,Male,October,193.9,19,2.6
Clothing,Latin America,45-54,Female,March,395.23,15,4.6
Home Appliances,North America,65+,Male,May,133.34,80,4.3
Home Appliances,North America,35-44,Non-binary,October,651.15,40,4.0
Clothing,Europe,25-34,Female,February,547.84,39,2.8
Electronics,Middle East,65+,Male,April,225.92,3,2.3
Sports Equipment,Africa,18-24,Non-binary,January,858.15,42,4.8
Books,Europe,55-64,Female,May,167.03,85,1.8
Sports Equipment,Asia-Pacific,18-24,Non-binary,September,958.96,97,2.6
Beauty Products,Europe,55-64,Female,October,56.28,42,2.8
Beauty Products,Europe,25-34,Female,October,309.95,33,4.8
Electronics,Latin America,65+,Female,April,708.41,60,3.7
Sports Equipment,Asia-Pacific,25-34,Female,October,274.47,41,2.9
Electronics,Middle East,45-54,Male,May,845.21,77,1.8
Electronics,Middle East,18-24,Non-binary,October,291.65,25,1.6
Home Appliances,Europe,35-44,Female,December,515.15,90,2.6
Electronics,Africa,45-54,Male,December,227.59,46,3.9
Beauty Products,Europe,65+,Female,August,528.31,88,2.7
Clothing,Latin America,25-34,Female,November,75.5,8,3.3
Beauty Products,Latin America,65+,Female,January,177.92,41,1.5
Sports Equipment,Latin America,18-24,Male,March,52.36,54,4.0
Clothing,Europe,55-64,Male,May,619.9,74,2.7
Beauty Products,Latin America,45-54,Male,May,500.82,41,1.7
Home Appliances,Africa,35-44,Male,March,642.72,44,3.3
Clothing,Latin America,18-24,Non-binary,February,787.21,23,4.7
Books,Asia-Pacific,65+,Female,June,304.83,52,1.6
Electronics,Asia-Pacific,18-24,Female,September,709.81,55,1.8
Beauty Products,Asia-Pacific,18-24,Female,December,661.5,14,1.0
Electronics,Africa,55-64,Female,June,779.48,31,3.2
Clothing,Europe,25-34,Male,September,34.19,91,3.8
Sports Equipment,North America,55-64,Male,January,612.09,87,3.5
Electronics,Latin America,65+,Non-binary,October,807.65,41,4.0
Beauty Products,Europe,25-34,Male,June,984.63,86,1.9
Beauty Products,Latin America,25-34,Male,October,464.38,34,1.7
Electronics,Asia-Pacific,18-24,Male,July,504.47,27,2.7
Clothing,Europe,65+,Male,March,201.18,3,2.2
Home Appliances,North America,25-34,Male,April,77.25,5,2.3
Sports Equipment,Middle East,18-24,Female,July,26.81,27,3.2
Sports Equipment,Africa,35-44,Male,October,926.0,16,1.5
Clothing,North America,35-44,Male,July,554.19,57,2.6
Beauty Products,Middle East,55-64,Female,February,514.04,30,2.0
Clothing,Latin America,45-54,Non-binary,January,814.5,96,1.0
Clothing,Latin America,35-44,Male,November,122.02,1,4.9
Home Appliances,Europe,45-54,Female,June,786.03,56,3.6
Electronics,North America,18-24,Female,August,582.46,7,4.7
Electronics,Latin America,45-54,Non-binary,August,924.61,78,3.5
Electronics,Europe,25-34,Non-binary,May,941.0,49,3.2
Beauty Products,North America,65+,Male,November,924.6,25,2.7
Sports Equipment,Asia-Pacific,25-34,Non-binary,May,292.75,76,4.0
Sports Equipment,Europe,45-54,Non-binary,April,986.71,45,1.9
Clothing,Middle East,55-64,Male,June,751.82,60,2.3
Sports Equipment,Africa,35-44,Male,August,443.37,56,2.8
Clothing,Latin America,45-54,Non-binary,May,620.31,18,4.6
Sports Equipment,Asia-Pacific,18-24,Male,August,388.28,78,1.6
Books,Middle East,55-64,Non-binary,June,547.73,75,1.5
Books,Asia-Pacific,18-24,Male,July,36.9,35,3.9
Home Appliances,Middle East,25-34,Female,July,895.88,67,4.6
Beauty Products,Africa,25-34,Non-binary,February,192.8,48,1.3
Beauty Products,Europe,18-24,Non-binary,October,915.99,10,3.4
Home Appliances,Latin America,18-24,Female,March,564.9,61,2.3
Beauty Products,Middle East,35-44,Female,April,224.93,26,3.3
Beauty Products,Middle East,18-24,Non-binary,April,196.58,17,1.4
Beauty Products,Africa,45-54,Non-binary,February,200.75,80,3.8
Beauty Products,Asia-Pacific,35-44,Female,May,245.05,24,2.6
Electronics,Latin America,45-54,Female,September,45.39,6,1.5
Sports Equipment,Africa,18-24,Non-binary,July,696.11,28,2.8
Sports Equipment,Europe,55-64,Non-binary,November,345.84,75,2.5
Home Appliances,North America,18-24,Non-binary,November,872.8,82,4.8
Electronics,North America,65+,Non-binary,October,894.29,2,2.2
Electronics,North America,65+,Male,May,518.27,57,1.1
Sports Equipment,Asia-Pacific,35-44,Non-binary,June,494.52,53,4.3
Home Appliances,Africa,45-54,Female,March,789.02,79,3.2
Clothing,Africa,25-34,Female,November,418.02,8,3.8
Home Appliances,Middle East,25-34,Non-binary,January,150.03,36,3.7
Beauty Products,Europe,45-54,Non-binary,December,488.33,46,4.8
Sports Equipment,North America,55-64,Female,October,402.15,47,1.5
Books,Middle East,55-64,Female,November,884.74,87,1.4
Books,Latin America,35-44,Female,August,918.73,19,2.5
Sports Equipment,Asia-Pacific,45-54,Non-binary,May,213.35,88,1.9
Beauty Products,Middle East,35-44,Non-binary,February,469.34,12,3.4
Sports Equipment,North America,45-54,Male,October,923.12,40,4.0
Electronics,Middle East,18-24,Non-binary,January,339.15,53,1.9
Clothing,North America,45-54,Male,April,625.24,35,3.3
Clothing,Middle East,45-54,Female,December,526.72,38,1.7
Clothing,Middle East,65+,Male,August,188.88,29,4.5
Clothing,Latin America,55-64,Non-binary,April,232.82,82,3.8
Home Appliances,Europe,18-24,Non-binary,January,567.04,54,1.1
Sports Equipment,Latin America,45-54,Non-binary,May,802.9,31,4.4
Clothing,Latin America,25-34,Female,February,450.62,45,4.9
Clothing,Asia-Pacific,18-24,Non-binary,October,552.87,97,3.3
Clothing,Africa,18-24,Non-binary,February,580.48,83,3.8
Beauty Products,Africa,45-54,Non-binary,July,525.9,16,4.4
Home Appliances,Asia-Pacific,25-34,Male,November,509.15,52,5.0
Electronics,Middle East,55-64,Male,May,902.4,95,2.8
Clothing,Africa,18-24,Female,January,537.48,73,4.1
Clothing,North America,65+,Non-binary,September,279.29,19,1.7
Sports Equipment,Middle East,25-34,Non-binary,December,591.05,33,1.3
Electronics,Africa,35-44,Female,December,10.63,42,1.3
Beauty Products,Europe,45-54,Male,November,764.83,86,2.3
Clothing,Middle East,45-54,Male,February,833.29,77,3.8
Clothing,Middle East,45-54,Non-binary,December,248.78,25,1.1
Beauty Products,Africa,65+,Male,December,820.62,84,2.5
Electronics,Europe,25-34,Female,December,459.82,88,3.3
Home Appliances,Middle East,35-44,Non-binary,May,536.25,35,4.0
Clothing,Middle East,35-44,Female,December,958.0,92,2.5
Sports Equipment,North America,35-44,Male,December,930.04,21,2.8
Electronics,Europe,18-24,Male,July,647.33,57,3.1
Clothing,Africa,25-34,Non-binary,February,136.75,100,1.5
Beauty Products,North America,18-24,Male,January,126.13,45,1.1
Beauty Products,Middle East,65+,Male,November,619.39,81,2.7
Books,Latin America,45-54,Female,November,985.89,36,3.7
Books,North America,18-24,Female,March,23.89,52,3.7
Electronics,Africa,35-44,Non-binary,June,95.59,11,2.3
Clothing,Europe,65+,Non-binary,August,557.06,97,3.8
Books,Middle East,35-44,Non-binary,February,368.39,81,3.9
Beauty Products,North America,55-64,Female,October,786.49,50,1.3
Clothing,Asia-Pacific,25-34,Non-binary,January,24.54,91,1.5
Clothing,Latin America,45-54,Female,December,525.3,30,2.0
Clothing,Middle East,55-64,Male,April,970.84,61,2.6
Home Appliances,North America,65+,Male,December,991.35,85,4.2
Sports Equipment,Europe,25-34,Female,July,143.05,20,5.0
Beauty Products,Latin America,25-34,Female,February,34.13,41,4.9
Home Appliances,Asia-Pacific,35-44,Non-binary,September,146.4,11,4.1
Home Appliances,Africa,18-24,Female,January,932.53,26,1.2
Home Appliances,Asia-Pacific,35-44,Female,August,88.53,12,1.0
Beauty Products,Europe,25-34,Male,October,640.76,100,3.4
Clothing,North America,18-24,Male,October,148.15,81,3.1
Home Appliances,Europe,35-44,Non-binary,November,11.29,85,1.3
Home Appliances,Europe,18-24,Non-binary,November,639.11,22,3.7
Books,North America,35-44,Male,July,539.83,2,5.0
Beauty Products,North America,18-24,Female,May,373.14,33,1.1
Beauty Products,North America,45-54,Female,June,47.95,43,1.1
Home Appliances,Middle East,25-34,Non-binary,December,828.46,98,4.1
Home Appliances,Middle East,65+,Non-binary,July,804.43,15,2.0
Clothing,Middle East,25-34,Female,July,517.41,80,4.7
Electronics,Europe,35-44,Male,October,60.39,10,3.6
Sports Equipment,Africa,18-24,Female,October,169.76,83,4.8
Books,Latin America,45-54,Non-binary,June,622.97,88,1.8
Sports Equipment,Europe,55-64,Male,April,611.91,8,1.9
Home Appliances,Africa,18-24,Non-binary,July,984.85,15,3.0
Electronics,Middle East,25-34,Female,May,513.12,23,1.2
Beauty Products,North America,55-64,Female,September,520.22,48,4.5
Beauty Products,Europe,55-64,Male,December,683.68,78,2.7
Books,Africa,18-24,Non-binary,May,522.4,5,1.6
Sports Equipment,Europe,25-34,Male,February,986.58,69,3.2
Sports Equipment,Middle East,65+,Non-binary,September,552.61,64,2.0
Clothing,Middle East,65+,Non-binary,September,356.05,13,1.7
Home Appliances,Europe,55-64,Non-binary,March,605.72,44,3.8
Home Appliances,Asia-Pacific,65+,Non-binary,November,482.52,20,2.2
Home Appliances,Asia-Pacific,25-34,Male,October,167.33,88,4.8
Clothing,Europe,65+,Male,December,993.45,58,4.6
Beauty Products,Europe,55-64,Male,March,860.04,4,1.4
Electronics,Latin America,55-64,Non-binary,October,610.16,78,2.9
Books,Middle East,25-34,Female,May,10.14,77,2.5
Books,Europe,18-24,Female,August,897.41,12,1.5
Home Appliances,Latin America,55-64,Non-binary,October,628.7,90,3.0
Clothing,Africa,65+,Non-binary,November,598.96,100,2.0
Books,Latin America,65+,Male,January,216.36,99,1.5
Books,Latin America,18-24,Non-binary,February,18.86,91,3.1
Beauty Products,Europe,35-44,Female,September,74.9,39,3.8
Home Appliances,Africa,65+,Male,November,205.54,60,4.3
Home Appliances,Africa,55-64,Male,April,677.93,52,1.1
Home Appliances,Europe,65+,Female,November,498.67,76,1.5
Books,Asia-Pacific,55-64,Female,April,120.23,29,2.8
Beauty Products,Africa,65+,Non-binary,December,654.01,20,4.4
Books,North America,45-54,Non-binary,August,879.97,42,4.3
Sports Equipment,Middle East,18-24,Female,June,953.56,5,1.1
Books,Latin America,65+,Male,September,364.16,47,4.1
Beauty Products,North America,65+,Female,April,238.36,37,1.6
Books,North America,35-44,Non-binary,January,893.96,6,3.8
Books,North America,55-64,Male,April,510.79,53,2.0
Clothing,Asia-Pacific,18-24,Non-binary,November,106.19,79,4.1
Books,Asia-Pacific,55-64,Male,July,737.84,33,3.8
Clothing,Europe,65+,Female,September,905.14,68,1.1
Sports Equipment,Asia-Pacific,45-54,Female,May,480.1,20,2.1
Clothing,Latin America,18-24,Male,September,434.46,28,4.8
Electronics,Asia-Pacific,65+,Female,August,928.49,92,4.0
Sports Equipment,Asia-Pacific,25-34,Female,May,228.38,17,2.7
Sports Equipment,Middle East,18-24,Female,April,225.69,10,4.1
Books,Middle East,65+,Female,May,950.33,95,1.2
Clothing,Africa,35-44,Male,April,896.84,52,1.2
Home Appliances,North America,25-34,Male,June,835.18,99,2.9
Books,North America,18-24,Male,April,289.01,15,3.2
Beauty Products,Middle East,55-64,Female,August,115.86,30,3.2
Beauty Products,Africa,65+,Male,January,399.43,37,3.2
Clothing,North America,55-64,Male,May,870.24,21,1.0
Clothing,Asia-Pacific,55-64,Non-binary,July,845.06,97,1.8
Home Appliances,Middle East,35-44,Non-binary,July,772.14,75,3.3
Books,Europe,65+,Non-binary,February,344.02,36,2.6
Electronics,Asia-Pacific,25-34,Female,March,776.83,82,2.2
Beauty Products,North America,45-54,Non-binary,April,748.06,67,4.3
Home Appliances,Latin America,65+,Female,February,737.43,25,2.3
Beauty Products,Asia-Pacific,45-54,Male,February,984.33,43,4.1
Books,Asia-Pacific,45-54,Non-binary,September,435.19,54,1.4
Home Appliances,North America,35-44,Non-binary,May,704.66,66,4.6
Books,Asia-Pacific,65+,Non-binary,December,446.88,81,2.1
Home Appliances,Latin America,55-64,Female,February,431.7,6,2.5
Beauty Products,North America,35-44,Non-binary,June,441.5,39,2.3
Sports Equipment,Africa,65+,Non-binary,June,588.41,68,4.6
Home Appliances,Latin America,35-44,Male,June,241.75,42,4.4
Books,Latin America,45-54,Female,April,57.18,36,4.2
Sports Equipment,Asia-Pacific,18-24,Non-binary,January,646.14,6,4.0
Sports Equipment,North America,25-34,Non-binary,August,646.74,51,2.6
Sports Equipment,Latin America,55-64,Non-binary,December,524.8,28,3.4
Clothing,Latin America,25-34,Non-binary,December,198.26,84,4.4
Clothing,Asia-Pacific,45-54,Male,March,162.2,14,2.0
Sports Equipment,Asia-Pacific,65+,Male,January,236.64,90,1.2
Home Appliances,Latin America,65+,Non-binary,September,515.44,9,4.9
Home Appliances,Europe,45-54,Female,March,85.68,41,4.0
Clothing,Middle East,25-34,Male,January,328.88,75,1.7
Sports Equipment,Europe,25-34,Male,January,936.69,21,1.3
Electronics,Middle East,18-24,Female,October,254.52,68,4.8
Clothing,Europe,45-54,Female,July,478.61,93,3.7
Clothing,Africa,65+,Female,February,16.6,74,2.5
Home Appliances,North America,45-54,Non-binary,March,710.64,41,2.5
Clothing,Middle East,35-44,Male,June,764.15,76,2.7
Clothing,Middle East,45-54,Female,September,980.95,12,4.4
Books,Europe,65+,Non-binary,February,107.02,42,1.3
Books,Europe,18-24,Female,March,445.4,73,2.6
Clothing,North America,25-34,Non-binary,April,965.79,73,1.8
Books,Africa,35-44,Female,September,113.2,97,3.5
Beauty Products,Middle East,25-34,Male,April,149.05,95,1.2
Books,Middle East,18-24,Male,June,284.97,86,2.8
Books,Europe,25-34,Non-binary,January,617.96,87,1.3
Clothing,Africa,65+,Non-binary,March,592.31,50,1.5
Books,North America,35-44,Non-binary,October,395.23,63,2.1
Books,Europe,55-64,Male,January,483.82,77,4.9
Clothing,Europe,65+,Female,October,732.96,56,4.9
Home Appliances,Latin America,18-24,Male,September,242.29,1,4.1
Sports Equipment,Middle East,25-34,Female,March,450.76,83,3.6
Home Appliances,Latin America,65+,Female,April,289.81,11,1.3
Electronics,Middle East,65+,Female,March,295.11,88,3.4
Beauty Products,Latin America,55-64,Non-binary,February,106.0,52,5.0
Books,Middle East,55-64,Female,February,459.51,97,1.5
Beauty Products,Europe,25-34,Male,November,764.37,16,3.7
Sports Equipment,Asia-Pacific,65+,Male,December,56.25,88,2.8
Home Appliances,Europe,18-24,Male,March,10.04,53,2.2
Sports Equipment,Middle East,25-34,Female,November,705.67,54,1.9
Clothing,Latin America,45-54,Non-binary,September,34.85,19,1.6
Electronics,Latin America,18-24,Female,February,938.28,28,3.0
Clothing,North America,55-64,Female,December,104.06,67,2.1
Clothing,Middle East,18-24,Male,April,443.34,71,3.6
Home Appliances,North America,25-34,Non-binary,July,532.61,51,2.8
Sports Equipment,Africa,25-34,Male,May,961.26,62,3.3
Books,North America,25-34,Female,September,679.92,40,4.1
Electronics,Europe,25-34,Female,May,863.37,26,3.9
Beauty Products,North America,65+,Male,February,641.27,39,1.4
Beauty Products,Africa,65+,Female,April,462.28,83,5.0
Books,Africa,35-44,Male,December,33.84,72,1.4
Home Appliances,Africa,35-44,Female,January,612.76,49,3.6
Sports Equipment,Middle East,45-54,Female,December,417.83,11,3.2
Sports Equipment,Asia-Pacific,65+,Male,November,297.63,4,1.9
Books,Asia-Pacific,55-64,Non-binary,March,920.22,63,1.7
Books,Middle East,25-34,Female,August,952.57,30,4.8
Home Appliances,Asia-Pacific,45-54,Male,March,221.87,41,2.7
Electronics,North America,65+,Non-binary,November,386.83,8,1.6
Home Appliances,Middle East,25-34,Non-binary,June,264.09,26,2.6
Sports Equipment,Asia-Pacific,35-44,Non-binary,March,476.85,13,1.0
Clothing,Asia-Pacific,55-64,Non-binary,February,741.01,11,4.3
Home Appliances,Africa,65+,Male,May,147.24,29,2.8
Electronics,Africa,18-24,Male,September,966.16,80,1.6
Beauty Products,Europe,25-34,Female,November,505.24,96,3.5
Books,Europe,65+,Non-binary,February,782.96,65,1.5
Home Appliances,North America,18-24,Male,March,539.79,43,3.1
Clothing,North America,45-54,Female,January,438.68,86,3.2
Clothing,Latin America,25-34,Female,August,525.58,25,1.4
Electronics,Europe,65+,Non-binary,September,582.4,77,4.5
Beauty Products,Middle East,55-64,Female,December,440.76,47,3.4
Home Appliances,Middle East,25-34,Female,December,528.64,58,1.3
Books,Asia-Pacific,18-24,Male,February,614.02,61,3.5
Home Appliances,Middle East,35-44,Male,August,465.35,39,5.0
Sports Equipment,Africa,45-54,Non-binary,March,820.42,24,1.5
Electronics,Europe,55-64,Non-binary,January,403.18,57,1.5
Books,Latin America,35-44,Female,April,789.51,67,4.3
Clothing,Africa,25-34,Non-binary,January,285.97,4,1.4
Beauty Products,Asia-Pacific,35-44,Non-binary,February,517.65,96,3.4
Sports Equipment,Latin America,35-44,Male,August,452.82,1,3.4
Electronics,Middle East,25-34,Male,December,36.83,56,2.0
Beauty Products,Europe,45-54,Male,December,275.07,38,1.2
Beauty Products,Latin America,45-54,Non-binary,October,992.45,75,2.9
Clothing,Latin America,65+,Female,November,974.21,67,2.3
Home Appliances,North America,18-24,Male,September,996.69,3,1.3
Electronics,Asia-Pacific,65+,Non-binary,May,653.51,88,2.6
Electronics,North America,55-64,Female,January,96.39,48,2.1
Sports Equipment,Europe,55-64,Non-binary,July,189.77,81,4.9
Clothing,Africa,35-44,Male,November,489.44,19,1.3
Home Appliances,Africa,55-64,Male,November,881.04,41,3.5
Beauty Products,North America,25-34,Male,March,792.75,2,3.8
Books,Latin America,55-64,Non-binary,December,565.6,31,1.9
Clothing,Europe,65+,Male,September,147.0,29,2.2
Clothing,Asia-Pacific,55-64,Non-binary,March,674.33,27,4.2
Beauty Products,Asia-Pacific,55-64,Female,November,862.52,4,2.5
Electronics,Europe,45-54,Male,December,855.3,81,1.5
Electronics,Middle East,25-34,Male,October,385.61,53,1.6
Electronics,North America,18-24,Male,October,114.12,89,2.1
Home Appliances,Europe,35-44,Male,August,651.77,44,2.2
Books,Middle East,45-54,Non-binary,July,661.86,83,4.8
Electronics,Latin America,35-44,Male,December,31.37,36,3.0
Clothing,Europe,18-24,Female,January,671.55,55,1.2
Sports Equipment,Middle East,45-54,Non-binary,November,387.05,35,3.5
Books,Asia-Pacific,35-44,Female,August,522.33,6,3.9
Electronics,North America,18-24,Male,May,335.94,10,2.1
Books,Africa,35-44,Male,February,424.35,71,1.4
Beauty Products,North America,55-64,Non-binary,October,827.79,75,3.9
Sports Equipment,Africa,35-44,Non-binary,March,206.81,27,4.3
Electronics,Middle East,65+,Male,February,156.21,61,2.9
Books,Asia-Pacific,25-34,Male,January,158.78,81,2.0
Home Appliances,Latin America,55-64,Male,August,83.71,47,3.8
Electronics,Asia-Pacific,25-34,Female,February,580.3,33,1.0
Sports Equipment,Middle East,35-44,Male,December,384.43,51,4.1
Beauty Products,Africa,18-24,Male,August,776.46,9,1.6
Home Appliances,Latin America,35-44,Female,April,806.32,93,4.8
Electronics,Europe,18-24,Female,March,181.51,76,3.0
Beauty Products,Asia-Pacific,45-54,Non-binary,January,130.95,8,2.6
Books,Europe,45-54,Non-binary,May,783.18,79,2.4
Electronics,Asia-Pacific,55-64,Non-binary,November,10.89,36,1.0
Sports Equipment,Middle East,35-44,Non-binary,August,548.1,74,4.6
Electronics,North America,35-44,Non-binary,April,43.39,56,1.5
Electronics,Europe,35-44,Female,July,147.0,87,2.2
Beauty Products,Europe,45-54,Female,March,633.68,67,2.1
Electronics,Latin America,55-64,Male,July,261.96,53,2.8
Books,North America,55-64,Non-binary,December,963.14,40,2.4
Sports Equipment,Middle East,18-24,Male,August,228.95,67,3.0
Books,Latin America,65+,Non-binary,October,360.36,10,1.6
Sports Equipment,Africa,18-24,Male,August,436.63,45,1.0
Sports Equipment,Europe,25-34,Female,February,975.58,95,3.1
Clothing,Europe,55-64,Female,December,768.05,4,1.1
Home Appliances,Europe,35-44,Female,January,758.49,76,4.6
Beauty Products,Asia-Pacific,55-64,Non-binary,May,85.94,42,4.8
Home Appliances,Middle East,45-54,Male,December,180.59,50,3.6
Books,Africa,65+,Female,July,492.47,15,4.2
Books,Europe,55-64,Non-binary,July,777.76,97,1.1
Electronics,Middle East,45-54,Female,November,823.08,38,1.9
Home Appliances,North America,45-54,Male,December,68.08,31,4.4
Books,Middle East,45-54,Male,March,964.04,62,2.9
Home Appliances,Middle East,45-54,Non-binary,June,291.75,41,1.7
Clothing,Europe,45-54,Non-binary,February,646.39,97,4.7
Beauty Products,Middle East,65+,Male,December,291.1,80,1.8
Books,Europe,25-34,Male,November,324.72,31,4.1
Clothing,Africa,45-54,Female,November,910.45,49,1.5
Sports Equipment,Europe,25-34,Male,January,352.18,71,2.5
Sports Equipment,Europe,25-34,Female,December,707.96,97,2.6
Books,North America,35-44,Male,July,510.64,17,3.1
Home Appliances,Asia-Pacific,45-54,Non-binary,November,77.38,13,3.1
Sports Equipment,Asia-Pacific,18-24,Male,September,530.31,63,4.5
Electronics,Europe,18-24,Female,August,54.51,65,2.3
